date,y5y
2011-04-12,3.075
2011-04-13,3.13
2011-04-14,3.159
2011-04-15,3.1925
2011-04-18,3.107
2011-04-19,3.135
2011-04-20,3.11
2011-04-21,3.076
2011-04-25,3.107
2011-04-26,2.965
2011-04-27,2.886
2011-04-28,2.968
2011-04-29,3.068
2011-05-02,2.981
2011-05-03,2.9825
2011-05-04,3.0505
2011-05-05,2.956
2011-05-06,2.993
2011-05-09,3.0405
2011-05-10,3.044
2011-05-11,2.9825
2011-05-12,3.041
2011-05-13,2.99
2011-05-16,2.989
2011-05-17,2.892
2011-05-18,2.945
2011-05-19,2.931
2011-05-20,2.942
2011-05-23,2.954
2011-05-24,3.042
2011-05-25,3.024
2011-05-26,3.013
2011-05-27,3.019
2011-05-31,3.015
2011-06-01,3.0095
2011-06-02,3.026
2011-06-03,3.064
2011-06-06,3.047
2011-06-07,3.039
2011-06-08,2.9635
2011-06-09,3.003
2011-06-10,2.979
2011-06-13,2.978
2011-06-14,3.017
2011-06-15,2.95
2011-06-16,2.991
2011-06-17,3.001
2011-06-20,3.018
2011-06-21,3.051
2011-06-22,3.043
2011-06-23,3.1185
2011-06-24,3.1425
2011-06-27,3.203
2011-06-28,3.211
2011-06-29,3.2755
2011-06-30,3.2505
2011-07-01,3.189
2011-07-05,3.124
2011-07-06,3.099
2011-07-07,3.139
2011-07-08,3.042
2011-07-11,3.064
2011-07-12,3.044
2011-07-13,3.078
2011-07-14,3.033
2011-07-15,3.086
2011-07-18,3.18
2011-07-19,3.1565
2011-07-20,3.158
2011-07-21,3.203
2011-07-22,3.197
2011-07-25,3.283
2011-07-26,3.2065
2011-07-27,3.246
2011-07-28,3.19
2011-07-29,3.1215
2011-08-01,3.125
2011-08-02,3.0205
2011-08-03,3.003
2011-08-04,3.142
2011-08-05,3.0945
2011-08-08,3.053
2011-08-09,3.1415
2011-08-10,3.195
2011-08-11,3.245
2011-08-12,3.153
2011-08-15,3.124
2011-08-16,3.1
2011-08-17,3.128
2011-08-18,2.836
2011-08-19,2.775
2011-08-22,2.872
2011-08-23,2.848
2011-08-24,2.905
2011-08-25,3.0025
2011-08-26,2.911
2011-08-29,2.9145
2011-08-30,2.885
2011-08-31,2.922
2011-09-01,2.902
2011-09-02,2.8045
2011-09-06,2.763
2011-09-07,2.827
2011-09-08,2.829
2011-09-09,2.805
2011-09-12,2.805
2011-09-13,2.807
2011-09-14,2.8295
2011-09-15,2.794
2011-09-16,2.7605
2011-09-19,2.751
2011-09-20,2.823
2011-09-21,2.744
2011-09-22,2.683
2011-09-23,2.7515
2011-09-26,2.7745
2011-09-27,2.851
2011-09-28,2.786
2011-09-29,2.6725
2011-09-30,2.759
2011-10-03,2.5425
2011-10-04,2.654
